Name,Country,QS Global World Ranking,Status,Research Output,Total Students,Scholarships,Academic Faculty Staff,International Students,Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,Number of International Students,Number of International Faculty
Vilnius University,Lithuania,#=423,Public,High,"16,561",,"2,202", 4.9, 27, 19.6, 21.6, 74.6, 5.9, 10.9,741,148
Amirkabir University of Technology,Iran,#=477,Public,Very High,"11,672",,529, 2.4, 24.8, 5, 18.3, 5.6, 96, 8.2,235,28
"Kingston University, London",United Kingdom,#581-590,Public,High,"15,096",Yes,898, 97.1,,,,,, 74.1,"5,688",247
Kanazawa University,Japan,#591-600,Public,Very High,"10,247",,"1,232",584,,,, 63,,,584,81
Niigata University,Japan,#541-550,Public,High,"12,400",,"1,967",406,,,, 87.1,,,406,70
Florida State University,United States,#=456,Public,Very High,"36,403",,"2,348", 4.8, 25.4, 26.8, 46.6, 12.9, 31.3, 15.7,"1,583",208
Pusan National University,South Korea,#581-590,Public,Very High,"25,473",,"2,133","1,793",, 18.7,, 27.2, 25,,"1,793",140
Dublin City University,Ireland,#=439,Public,High,"12,705",,"1,185", 45, 26, 17.7, 28.4, 35.9, 15.5, 68.5,"2,337",297
The National University of Science and Technology MISIS,Russia,#=428,Public,Very High,"6,997",,924, 75.9, 26.6, 9.1, 14.4, 73.8, 10.1, 15.7,"1,878",0
Universidad de Sevilla,Spain,#581-590,Public,Very High,"47,571",,"3,833","5,122",, 32.7,,,,,"5,122",105
University of Texas Dallas,United States,#531-540,Public,Very High,"25,654",,"1,232", 49.2,,,,, 45.8, 17.9,"4,853",120
Karl-Franzens-Universitaet Graz,Austria,#581-590,Public,Very High,"19,827",,"1,371", 33,, 19.8,,, 18.7, 50.2,"3,053",274
Kazakh National Agrarian University KazNAU,Kazakhstan,#591-600,Public,Low,"7,960",,"1,086", 18.4,,,, 62,, 29.5,944,150
Universitat de Valencia,Spain,#591-600,Public,Very High,"47,488",,"3,004","3,953",, 28.6,,, 23.2,,"3,953",39
Aberystwyth University,United Kingdom,#=485,Public,Very High,"6,491",Yes,531, 57.6, 24.6, 9.6, 5.7, 25.6, 46.1, 57.1,"1,390",117
National Taipei University of Technology,Taiwan,#=488,Public,Very High,"7,767",,714, 21.1, 24.5, 12.7, 33.1, 34.6, 33.5, 24.9,931,88
"The University of Tennessee, Knoxville",United States,#=432,Public,Very High,"26,712",,"1,842", 3.5, 26.4, 11.5, 30.5, 16.2, 74.4, 5.5,877,67
University of Delaware,United States,#541-550,Public,Very High,"22,136",Yes,"1,273", 20.5,,,,, 57.3, 35.9,"2,615",201
Sharif University of Technology,Iran,#=409,Public,Very High,"9,454",,538, 2.7, 27.6, 11.9, 27.4, 9.8, 87.9, 4.5,227,16
University of Balamand,Lebanon,#501-510,Private,High,"4,460",,705, 20.3,,,, 90.5,,,523,61
University of Ulsan,South Korea,#521-530,Private,Very High,"12,916",,"1,576",571,,,, 64.8, 32.6,,571,35
Nagasaki University,Japan,#531-540,Public,Very High,"9,144",,"1,323",426,,,, 83.2,,,426,74
University of Essex,United Kingdom,#=411,Public,High,"15,587",Yes,934, 99.2, 27.5, 18.7, 9, 11.2, 33.9, 99.6,"6,649",447
University of Pretoria,South Africa,#561-570,Public,High,"44,111",,"1,577","2,934",, 22.7, 34.8,, 25.4, 46,"2,934",296
Kyungpook National University,South Korea,#561-570,Public,Very High,"22,512",,"2,545","1,517",,,, 49.3, 18.6,,"1,517",105
Dalian University of Technology,China Mainland,#591-600,Public,Very High,"40,637",,"2,726","1,195",,,,, 62.5,,"1,195",185
Aston University,United Kingdom,#511-520,Public,Very High,"11,151",Yes,716, 35.6,,, 37.5,, 27.5, 95.8,"1,662",286
Rensselaer Polytechnic Institute,United States,#=470,Private,Very High,"7,803",Yes,632, 52.4, 25.1, 9.6, 7.6, 24.9, 60.3, 14.7,"1,574",0
Bar-Ilan University,Israel,#551-560,Public,High,"16,809",,923,990,,,,, 57.4, 59.9,990,200
