Name,Country,QS Global World Ranking,Status,Research Output,Total Students,Academic Faculty Staff,International Students,Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,Number of International Students,Number of International Faculty
Universidad Autónoma de Madrid,Spain,#=200,Public,Very High,"28,741","2,869", 12, 42.8, 57.1, 55.4, 42.3, 23.3, 8.8,"2,470",161
Vrije Universiteit Brussel (VUB),Belgium,#=200,Public,Very High,"11,819","1,792", 62.1, 42.8, 24.7, 18.9, 87.3, 29.1, 88.2,"2,664",606
University of Gothenburg,Sweden,#202,Public,Very High,"19,782","2,850", 42.7, 42.7, 38.3, 15.7, 69.2, 31.4, 65.5,"5,438",946
Dartmouth College,United States,#=203,Private,Very High,"6,415",815, 32.7, 42.6, 19.4, 29.5, 69.5, 79.3, 5.5,984,30
Western University,Canada,#=203,Public,Very High,"30,420","1,548", 51, 42.6, 29.8, 63.7, 7.4, 76.1, 95.6,"6,033",583
University of Reading,United Kingdom,#205,Public,Very High,"15,949","1,362", 86.4, 42.3, 33.4, 34.3, 28.6, 53, 93.2,"4,806",508
Complutense University of Madrid,Spain,#206,Public,Very High,"60,471","4,778", 21.3, 41.9, 66.4, 63.5, 23.3, 14.2, 3.2,"7,295",95
University of Aberdeen,United Kingdom,#207,Public,Very High,"12,908","1,162", 99, 41.8, 28.7, 23.6, 32.8, 57.4, 94.8,"5,483",451
Chulalongkorn University,Thailand,#208,Public,High,"34,512","3,014", 2.6, 41.6, 67.1, 60.7, 29.1, 9, 14.6,770,253
Queen's University Belfast,United Kingdom,#209,Public,Very High,"18,694","1,939", 96.5, 41.5, 29, 33, 46.3, 36.6, 99.8,"6,915",944
"University of California, Irvine",United States,#210,Public,Very High,"36,175","2,110", 75.7, 41.4, 44.2, 14.4, 10.7, 68.7, 46.6,"10,118",423
Khalifa University of Science and Technology,United Arab Emirates,#=211,Public,Very High,"2,843",452, 48.1, 41.2, 11.9, 10.2, 86.4, 52.6, 100,544,392
University of Notre Dame,United States,#=211,Private,Very High,"12,368","1,554", 19.8, 41.2, 29.2, 47.5, 68.2, 42.3, 29.3,"1,431",204
Universitat Autònoma de Barcelona,Spain,#213,Public,Very High,"31,602","2,148", 23.1, 40.9, 59.9, 33.9, 15.2, 39.9, 22.2,"3,993",244
Macquarie University,Australia,#=214,Public,Very High,"23,665","1,823", 97.5, 40.8, 31.6, 49.6, 21.8, 44.5, 97.2,"9,207",762
Università di Padova,Italy,#216,Public,Very High,"45,407","2,717", 5.9, 40.6, 59.4, 35.6, 11.1, 49.9, 10.9,"2,360",182
Curtin University,Australia,#=217,Public,Very High,"24,442","1,710", 50.2, 40.5, 32.4, 43.4, 16.8, 60.6, 100,"4,802",976
Queensland University of Technology (QUT),Australia,#=217,Public,Very High,"36,343","1,981", 41.8, 40.5, 43.2, 45.6, 8.7, 48.5, 97.8,"6,404",849
University of Virginia,United States,#=217,Public,Very High,"23,039","2,731", 14.3, 40.5, 37.2, 42.4, 61.4, 38.5, 8.1,"2,201",143
American University of Beirut (AUB),Lebanon,#=220,Private,High,"8,809","1,029", 64.6, 40.4, 27.7, 64, 59.7, 16.5, 84.4,"2,041",327
Arizona State University,United States,#=220,Public,Very High,"47,318","2,827", 46.3, 40.4, 43.4, 33.4, 11.1, 57.6, 67.5,"8,856",713
University of Cape Town,South Africa,#=220,Public,Very High,"20,899","1,704", 35.8, 40.4, 45.1, 39.7, 25.3, 39.6, 67.1,"3,373",428
RMIT University,Australia,#=223,Public,Very High,"34,998","1,995", 94.3, 40, 37.6, 60.2, 9.8, 35, 100,"12,160",1179
Victoria University of Wellington,New Zealand,#=223,Public,Very High,"17,775","1,104", 54.3, 40, 48.4, 31.8, 12.3, 35.2, 99.6,"3,668",526
Saint Petersburg State University,Russia,#225,Public,Very High,"22,675","3,281", 36.8, 39.9, 41.2, 29.2, 83.3, 7.2, 5.9,"3,714",129
Loughborough University,United Kingdom,#226,Public,Very High,"16,801","1,448", 72.2, 39.7, 30.9, 66.1, 29.3, 34.1, 83.8,"4,241",456
Novosibirsk State University,Russia,#=228,Public,Very High,"7,189","1,221", 47.2, 39.4, 28.8, 21.3, 94.7, 18.9, 9,"1,360",70
Universität Hamburg,Germany,#=228,Public,Very High,"28,860","2,032", 22.9, 39.4, 48.7, 17.7, 26.1, 46.4, 45,"3,626",376
Georgetown University,United States,#=230,Private,Very High,"16,080","1,936", 47.2, 39.3, 33.5, 47.7, 63.2, 25.8, 15.1,"3,042",167
Tel Aviv University,Israel,#=230,Public,Very High,"22,064","1,047", 9.3, 39.3, 34.3, 29.9, 6.2, 94.9, 33.2,"1,607",157
University of Colorado Boulder,United States,#=230,Public,Very High,"32,516","2,798", 11, 39.3, 36.9, 17.6, 44.5, 59.7, 24.1,"2,641",317
Maastricht University ,Netherlands,#=234,Public,Very High,"18,119","1,352", 100, 38.9, 21.8, 30.5, 20, 65, 97.1,"9,765",563
National Cheng Kung University (NCKU),Taiwan,#=234,Public,Very High,"21,102","1,967", 23, 38.9, 41, 60.9, 35.8, 35, 17,"2,656",185
National University of Ireland Galway,Ireland,#=238,Public,High,"14,207","1,901", 58.8, 38.3, 24.2, 27.4, 75.3, 15.2, 91.8,"3,087",688
University of Antwerp,Belgium,#=238,Public,Very High,"16,098","2,088", 39.1, 38.3, 22.5, 13.2, 73.1, 36.4, 77.5,"2,730",604
National Chiao Tung University,Taiwan,#=240,Public,Very High,"11,733","1,152", 21.4, 38.2, 29.7, 64.9, 40.7, 44.5, 30,"1,420",161
Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,#=240,Public,Very High,"37,564","3,779", 23.6, 38.2, 50.6, 13.8, 43.5, 21.3, 43.8,"4,777",686
Ecole des Ponts ParisTech,France,#=242,Public,Very High,"2,045",337, 99.6, 38.1, 8.8, 49.9, 93.1, 20.7, 31.8,912,49
Sciences Po,France,#=242,Public,Very High,"11,373","1,763", 99.2, 38.1, 21, 29.2, 89.1, 6, 52,"4,838",362
University of Leicester,United Kingdom,#=242,Public,Very High,"15,043","1,550", 85.4, 38.1, 24.8, 17.3, 45.6, 43.3, 82.7,"4,468",480
Qatar University,Qatar,#245,Public,Very High,"8,900","1,133", 95.4, 37.9, 19.3, 23.3, 69.7, 19.4, 100,"3,162",906
Queen's University at Kingston,Canada,#=246,Public,Very High,"23,886","1,224", 28.8, 37.8, 36.5, 68.8, 7.5, 48.2, 71,"3,410",323
University of Calgary,Canada,#=246,Public,Very High,"31,863","2,668", 57.1, 37.8, 33, 36.6, 27.2, 41.2, 82.9,"6,791",829
University of Sussex,United Kingdom,#=246,Public,High,"17,513","1,312", 95.1, 37.8, 28, 10.2, 20.2, 58.7, 96.4,"6,212",533
Wuhan University,China Mainland,#=246,Public,Very High,"53,957","3,775", 8.5, 37.8, 38.2, 53.7, 16.8, 53.4, 48.6,"3,682",737
Tomsk State University,Russia,#=250,Public,Very High,"7,756","1,744", 93.4, 37.7, 21.7, 15.1, 99.9, 6.1, 29.1,"2,759",239
Universite libre de Bruxelles,Belgium,#=250,Public,Very High,"23,170","1,093", 88.7, 37.7, 33, 50, 6.8, 45.8, 87.2,"6,955",462
Mahidol University,Thailand,#=252,Public,Very High,"29,165","3,710", 5.6, 37.5, 41.7, 44.4, 69.6, 7.8, 8.6,"1,466",205
University of Navarra,Spain,#=252,Private,Very High,"11,646","1,296", 68.5, 37.5, 28.8, 67.8, 51.3, 20.4, 25,"2,818",160
Gadjah Mada University,Indonesia,#=254,Public,High,"39,477","4,798", 2.2, 37.4, 44.9, 43.2, 59.9, 1.7, 48.7,695,939
Universiti Brunei Darussalam (UBD),Brunei,#=254,Public,Very High,"2,761",477, 63.9, 37.4, 18.3, 10.5, 95.4, 7.9, 100,635,262
Tongji University,China Mainland,#=256,Public,Very High,"35,986","2,803", 28.4, 37.2, 34.4, 8.5, 22.4, 60.6, 88,"5,095",944
University of Illinois at Chicago (UIC),United States,#=256,Public,Very High,"28,306","2,770", 21.1, 37.2, 44.7, 29.3, 40.4, 32.8, 10.3,"3,394",177
Rutgers University–New Brunswick,United States,#258,Public,Very High,"44,905","5,044", 42.3, 37, 38.9, 35.5, 55.1, 16.3, 24.6,"7,965",616
Charles University,Czech Republic,#=260,Public,Very High,"46,120","4,878", 46.9, 36.7, 43.4, 37.6, 48.4, 11.8, 19,"8,699",497
Harbin Institute of Technology,China Mainland,#=260,Public,Very High,"30,139","3,215", 8.7, 36.7, 22.4, 8.4, 49.3, 79.8, 9.6,"2,102",194
Tufts University,United States,#=260,Private,Very High,"10,903","1,453", 36, 36.7, 20.2, 7.8, 75.7, 45.3, 32.8,"1,750",216
Sun Yat-sen University,China Mainland,#263,Public,Very High,"54,831","6,424", 6.3, 36.4, 35.4, 33.7, 57.5, 31.9, 9.7,"3,006",390
Hong Kong Baptist University,Hong Kong S.A.R.,#264,Public,Very High,"8,435",816, 95.6, 36.3, 18.2, 12.7, 39.3, 49.9, 98.2,"3,350",312
Universität Innsbruck,Austria,#=265,Public,High,"13,378","1,651", 99.5, 36.2, 20.6, 13.8, 66.1, 15.8, 99.3,"5,848",770
University of Tsukuba,Japan,#=265,Public,Very High,"16,378","2,070", 27.3, 36.2, 34.6, 17.6, 68.9, 22.5, 15.5,"2,270",182
National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,#=267,Public,Very High,"8,631",998, 40.8, 36, 24.8, 28, 58.5, 40.7, 23.2,"1,500",117
Technical University of Darmstadt,Germany,#=267,Public,Very High,"17,047",793, 68.7, 36, 20.3, 62.2, 5.9, 70.6, 53.4,"4,134",166
University of Surrey,United Kingdom,#=267,Public,Very High,"15,452","1,203", 95.4, 36, 23.4, 31.6, 22.4, 45.8, 97.1,"5,522",501
University of Canterbury,New Zealand,#=270,Public,Very High,"13,594",801, 60.2, 35.9, 35.6, 37.4, 10.7, 38, 99.6,"3,000",382
University of Massachusetts Amherst,United States,#=270,Public,Very High,"25,963","1,798", 25.6, 35.9, 41.2, 16.1, 16.4, 56.2, 35.2,"3,590",432
Massey University,New Zealand,#272,Public,Very High,"11,638","1,111", 97.6, 35.8, 29.3, 24.5, 29.3, 28.8, 98.7,"4,836",498
USI - Università della Svizzera italiana,Switzerland,#=273,,,"2,695",403, 100, 35.6, 4.7, 5.2, 86.1, 29.1, 100,"1,864",309
The University of Arizona,United States,#=273,Public,Very High,"38,979","5,620", 15.6, 35.6, 41.3, 18.5, 52, 23.2, 24.6,"3,790",686
Deakin University,Australia,#=275,Public,Very High,"42,027","1,821", 82.7, 35.5, 28.9, 39.8, 5.1, 48.7, 97.1,"12,043",760
Indian Institute of Technology Madras (IITM),India,#=275,Public,Very High,"9,911",878, 1.5, 35.5, 34.1, 50.1, 31.5, 50.9, 2.6,81,13
Graz University of Technology,Austria,#=275,,Very High,"6,608","1,380", 55.7, 35.5, 13.5, 9.2, 96.1, 17.3, 70.6,"1,385",362
Université de Paris,France,#=275,Public,,"63,219","3,755", 19.6, 35.5, 43.1, 7.2, 20.7, 56.8, 17.2,"11,387",379
Beijing Normal University,China Mainland,#=279,Public,Very High,"23,022","2,012", 28.8, 35.4, 38.3, 8.8, 30.4, 51.3, 24.4,"3,288",244
University of Ottawa,Canada,#=279,Public,Very High,"35,791","1,637", 58.6, 35.4, 25.3, 38.8, 5.7, 62, 94.9,"7,757",664
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,#281,Public,Very High,"5,730","1,060", 42.4, 35.3, 15.7, 27.9, 97.7, 13.8, 32,"1,018",155
Bauman Moscow State Technical University,Russia,#=282,Public,High,"19,501","4,794", 11.5, 35.2, 21.6, 48.9, 100, 1.5, 11,"1,631",324
University of Cologne,Germany,#=282,Public,Very High,"34,630","2,904", 37.4, 35.2, 39.2, 42.9, 27.3, 23.9, 57.4,"5,723",642
United Arab Emirates University,United Arab Emirates,#284,Public,High,"7,121",846, 40.8, 35.1, 23.5, 35.3, 61.6, 12.8, 100,"1,238",684
University of Tartu,Estonia,#285,Public,Very High,"10,467","1,518", 26, 35, 25.3, 15.2, 83.4, 18.5, 29.6,"1,413",210
University College Cork,Ireland,#286,Public,Very High,"16,757","1,628", 46.4, 34.9, 28.6, 31.3, 42.8, 23.4, 91.9,"2,864",590
King Saud University,Saudi Arabia,#=287,Public,Very High,"40,184","4,681", 14.2, 34.8, 31, 11.7, 59.4, 19.3, 91.8,"3,834",1695
Université Paris 1 Panthéon-Sorbonne,France,#=287,Public,High,"34,765","1,709", 56.9, 34.8, 60.1, 41.3, 5.7, 3.8, 32.7,"7,385",311
University of Turku,Finland,#=287,Public,Very High,"12,639","1,506", 5.9, 34.8, 26.3, 32.2, 62, 33.6, 28.8,658,205
Dalhousie University,Canada,#=291,Public,Very High,"15,436","1,146", 81, 34.6, 18.8, 20.5, 19.7, 59.4, 100,"4,472",602
ENS Paris-Saclay,France,#=291,Public,Very High,"1,850",289, 35.7, 34.6, 18.1, 9.4, 89.6, 23.9, 35.1,298,45
Technion - Israel Institute of Technology,Israel,#=291,Public,Very High,"12,977","1,011", 3.6, 34.6, 27, 27.4, 22.4, 68.7, 48.2,437,179
University of Miami,United States,#=291,Private,Very High,"16,166","1,783", 36.7, 34.6, 24.2, 26.2, 53.1, 46.3, 8,"2,646",92
Gwangju Institute of Science and Technology (GIST),South Korea,#=295,Public,Very High,"1,884",183, 7.1, 34.5, 11.7, 5.6, 39.7, 100, 15.8,113,17
North Carolina State University,United States,#=295,Public,Very High,"30,031","1,871", 24.9, 34.5, 31.5, 20.2, 18.5, 57.5, 64.6,"3,955",455
University of South Australia,Australia,#=295,Public,Very High,"18,857","1,492", 61.2, 34.5, 24.4, 17.2, 23.4, 50.4, 100,"4,208",791
HSE University (National Research University Higher School of Economics),Russia,#=298,Public,Very High,"38,447","6,439", 17, 34.4, 26.1, 32.8, 94, 2.2, 8.1,"4,081",336
National Yang Ming University,Taiwan,#=298,Public,Very High,"4,224",965, 6.5, 34.4, 14.8, 15.2, 99.9, 30.9, 5.6,237,36
University of Strathclyde,United Kingdom,#300,Public,Very High,"19,371","1,507", 73.7, 34.3, 26.4, 50.2, 22.4, 28.2, 93.5,"4,973",566
Heriot-Watt University,United Kingdom,#=301,Public,Very High,"9,627",781, 94, 34.2, 15.7, 32.9, 25, 48.5, 100,"3,321",397
University of Milan,Italy,#=301,Public,Very High,"48,041","2,525", 7.4, 34.2, 51.9, 21.4, 8, 43.4, 9.6,"2,967",153
Griffith University,Australia,#=303,Public,Very High,"31,786","1,982", 40.3, 34.1, 28.9, 22.8, 12.4, 52.9, 99.5,"5,483",942
Xi’an Jiaotong University,China Mainland,#=303,Public,Very High,"40,526","3,279", 7.9, 34.1, 24.7, 40.3, 29.7, 64.4, 14.9,"2,642",280
Aalborg University,Denmark,#=305,Public,Very High,"16,184","1,597", 27.5, 34, 17.9, 36.6, 41.2, 50.2, 67.3,"2,252",402
Universitas Indonesia,Indonesia,#=305,Public,High,"45,291","4,224", 3.4, 34, 40.9, 52.9, 35.9, 2.1, 88.3,"1,412",1353
Université Paris-Saclay,France,#=305,Public,Very High,"28,915","3,637", 35.3, 34, 24, 8.8, 68.3, 29, 41,"4,627",630
Universität Mannheim,Germany,#307,Public,Very High,"9,839",307, 24.7, 33.7, 17.8, 58.1, 3.8, 85, 32.5,"1,290",45
Politecnico di Torino,Italy,#=308,Public,Very High,"29,628","1,016", 35.6, 33.5, 37.5, 52.7, 3.1, 52.1, 4,"4,805",26
Royal Holloway University of London,United Kingdom,#=308,Public,Very High,"10,311",814, 94.5, 33.5, 18.5, 10.9, 23.3, 53, 97.3,"3,603",342
University of Tasmania,Australia,#=308,Public,Very High,"13,180",966, 98.1, 33.5, 19.8, 8.8, 19.1, 58.1, 83.6,"5,414",297
Universidad Carlos III de Madrid (UC3M),Spain,#=311,Public,Very High,"19,511","2,173", 32.3, 33.4, 30.6, 46, 54.2, 9.4, 41.4,"2,969",379
Bandung Institute of Technology (ITB),Indonesia,#313,Public,Very High,"17,329","1,907", 1.7, 33.3, 38.3, 45.1, 52.8, 4, 36.3,203,304
Indian Institute of Technology Kharagpur (IIT-KGP),India,#=314,Public,Very High,"10,928",841, 1.1, 33.2, 26, 39.2, 21.7, 70.2, 4.9,19,27
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,#=314,Public,Very High,"5,162",954, 82.7, 33.2, 9.2, 13.6, 97.7, 9.1, 49.6,"1,569",189
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,#=314,Public,Very High,"22,447","2,422", 26.3, 33.2, 33.7, 32.3, 50.6, 21.6, 11,"3,050",164
Belarusian State University,Belarus,#=317,Public,High,"21,592","4,011", 30.4, 33, 19.1, 35.9, 97.6, 1.7, 4.6,"3,491",123
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,#=317,Public,Very High,"35,081","1,111", 23.5, 33, 22.5, 17.4, 2.7, 94.6, 28,"4,477",148
University of Dundee,United Kingdom,#319,Public,High,"12,936","1,485", 65.4, 32.9, 19.3, 15.4, 57.6, 21.7, 85.8,"3,025",482
Indiana University Bloomington,United States,#320,Public,Very High,"41,913","3,673", 19.2, 32.6, 38.8, 24.2, 30.6, 26.4, 42.9,"4,768",657
Hiroshima University,Japan,#=321,Public,Very High,"15,487","2,337", 17.7, 32.3, 22.5, 13.1, 87, 14, 14.1,"1,680",191
University of Warsaw,Poland,#=321,Public,Very High,"36,444","3,629", 10.5, 32.3, 43.6, 48.9, 37.3, 6.7, 8.5,"2,792",198
Simon Fraser University,Canada,#=323,Public,Very High,"25,151","1,193", 90.2, 32.1, 23.8, 19.8, 6.2, 49.8, 93.8,"8,050",451
Jagiellonian University,Poland,#=326,Public,High,"36,016","4,055", 11.3, 31.9, 34.9, 45.9, 55.4, 6.5, 4.3,"2,982",114
RUDN University,Russia,#=326,Public,High,"23,491","3,587", 95, 31.9, 14.7, 26, 87.9, 1.7, 11.5,"8,308",0
Universitat Politècnica de València,Spain,#=326,Public,Very High,"18,730","2,593", 20.5, 31.9, 24.5, 11.9, 78.9, 18.3, 6.1,"2,209",104
IE University,Spain,#327,Private,High,"5,600",719, 100, 32, 7.6, 44.6, 70.7, 3.8, 89.6,"4,373",249
Virginia Polytechnic Institute and State University,United States,#=326,Public,Very High,"32,369","2,710", 25.2, 31.9, 29.3, 31.5, 27.2, 36.6, 56.9,"4,292",685
National Taiwan Normal University,Taiwan,#=331,Public,Very High,"10,340","1,303", 31.6, 31.8, 31, 11, 68.5, 10.8, 12.8,"1,487",99
Ural Federal University - UrFU,Russia,#=331,Public,Very High,"28,372","4,607", 43.1, 31.8, 20.8, 13.8, 92.2, 2.4, 16.4,"5,089",421
Ewha Womans University,South Korea,#=333,Private,High,"17,414","2,445", 30.4, 31.7, 21.7, 20.1, 80.3, 14, 8.6,"2,561",135
Umea University,Sweden,#=333,Public,Very High,"13,796","1,930", 11.5, 31.7, 19.9, 7.3, 80, 24.3, 27.1,"1,153",252
Universität Stuttgart,Germany,#=333,Public,Very High,"24,145",986, 51.5, 31.7, 24.9, 46.7, 5, 55.7, 43.2,"5,168",178
University of East Anglia (UEA),United Kingdom,#=333,Public,High,"15,939","1,156", 60.8, 31.7, 19.3, 10.4, 24.4, 56.4, 70.4,"3,541",296
University of Hawaiʻi at Mānoa,United States,#=333,Public,Very High,"14,628","1,640", 17.7, 31.7, 16.6, 11.4, 54.9, 45.2, 56.4,"1,587",358
University of Jyväskylä,Finland,#=333,Public,Very High,"10,282","1,539", 5.2, 31.7, 17.2, 8.5, 86.3, 22, 36.5,483,246
University of Utah,United States,#=333,Public,Very High,"26,889","3,387", 10.1, 31.7, 17, 8.5, 68.5, 40.1, 33,"2,069",523
Yeshiva University,United States,#341,Private,Very High,"5,730",973, 10.6, 31.6, 2.8, 3.8, 97, 49.8,,456,0
Université Grenoble Alpes,France,#=342,Public,Very High,"41,704","2,554", 30.8, 31.5, 43.6, 12, 11.8, 37.4, 26.4,"6,184",327
"University of Chemistry and Technology, Prague",Czech Republic,#=342,Public,Very High,"3,842",821, 63.7, 31.5, 6.4, 8.1, 99.4, 18.5, 23.9,882,98
"Birkbeck, University of London",United Kingdom,#=344,Public,Very High,"8,391",537, 98, 31.4, 13.6, 4.2, 14.5, 63.4, 97.8,"3,301",233
University Ulm,Germany,#=344,Public,Very High,"10,284","1,473", 24.1, 31.4, 7.9, 5.2, 82.3, 38.2, 44.5,"1,329",270
SOAS University of London,United Kingdom,#=346,Public,Very High,"4,755",441, 100, 31.1, 21.3, 10.3, 35.4, 21.4, 100,"2,473",247
American University of Sharjah,United Arab Emirates,#=348,Private,Very High,"4,444",410, 100, 31, 19.4, 31.7, 34.4, 15.2, 100,"3,368",408
MGIMO University,Russia,#=348,Public,High,"7,292","1,726", 51.5, 31, 11.7, 24.9, 100, 1.4, 15.7,"1,456",153
"City, University of London",United Kingdom,#=350,Public,Very High,"14,691",845, 99.6, 30.9, 19.3, 21.4, 10, 45.5, 94.8,"7,072",328
Indian Institute of Technology Kanpur (IITK),India,#=350,Public,Very High,"7,099",613, 1.2, 30.9, 29, 35, 17.4, 60.1, 1.5,29,3
Universiti Teknologi Brunei,Brunei,#=350,Public,High,"1,041",167, 7.6, 30.9, 11.5, 9.1, 91.5, 7.8, 99.3,57,78
George Washington University,United States,,Private,Very High,"21,890","1,942","3,976", 59.1,,,,,,"3,976",311
University of Southern Denmark (SDU),Denmark,#=353,Public,Very High,"18,445","1,725", 26.4, 30.8, 19.6, 20.3, 36.1, 39.9, 85.4,"2,511",651
National University of Sciences And Technology (NUST) Islamabad,Pakistan,#355,Public,Very High,"11,375","1,559", 5, 30.5, 17, 54.1, 77.8, 10.6, 3.3,516,32
Westfälische Wilhelms-Universität Münster,Germany,#356,Public,Very High,"44,976","4,229", 7.8, 30.3, 35, 28.7, 38.1, 19.1, 29.3,"2,861",582
University of Lisbon,Portugal,#=357,Public,Very High,"48,651","3,077", 37.9, 30.2, 38.6, 21.5, 12.9, 38.1, 7.3,"8,109",146
University of Porto,Portugal,#=357,Public,Very High,"28,262","1,853", 18.1, 30.2, 37, 22.5, 14.1, 44.8, 5.3,"3,108",65
ITMO University,Russia,#=360,Public,Very High,"11,089","1,893", 50.7, 30.1, 11.9, 16.1, 91.2, 7.7, 24.9,"2,190",239
Norwegian University of Science And Technology,Norway,#=360,Public,Very High,"36,683","3,132", 10.8, 30.1, 30.9, 22.6, 28.6, 26.8, 72.7,"2,950",846
Johannes Kepler University Linz,Austria,#=362,Public,Very High,"5,246",811, 23.3, 30, 11.3, 21, 66.9, 23.9, 77.7,665,234
Linköping University,Sweden,#=362,Public,Very High,"18,768","1,557", 15.6, 30, 20.4, 22.2, 27.8, 49.7, 63.9,"1,894",375
Northeastern University,United States,#=362,Private,Very High,"21,414","1,723", 95.1, 30, 20.1, 12.9, 23.1, 36.5, 76.3,"7,595",484
Tokyo Medical and Dental University (TMDU),Japan,#=362,Public,Very High,"3,027",936, 15.3, 30, 11, 5.4, 100, 20.1, 2.8,301,16
University of Macau,"Macao S.A.R., China",#367,Public,Very High,"9,856",767, 96.2, 29.9, 11.2, 6.2, 22.4, 51.8, 100,"3,605",630
Brunel University London,United Kingdom,#=368,Public,Very High,"13,490",859, 98.1, 29.7, 10.7, 16.1, 13.1, 55.6, 99.6,"5,305",410
Tilburg University,Netherlands,#=368,Public,Very High,"10,338",732, 42.5, 29.7, 15.1, 37.5, 13.9, 52.1, 89,"1,838",257
Kazan (Volga region) Federal University,Russia,#=370,Public,Very High,"28,082","4,038", 69, 29.5, 18.2, 7.5, 82.7, 4.3, 9.2,"7,964",236
University of Victoria (UVic),Canada,#=370,Public,Very High,"22,301",872, 65.3, 29.5, 16.5, 11.4, 4, 64.5, 91.9,"5,875",316
Swinburne University of Technology,Australia,#372,Public,Very High,"14,391","1,024", 91.7, 29.4, 14.8, 17.9, 17.6, 42.3, 98.1,"4,729",445
"Stony Brook University, State University of New York",United States,#=373,Public,Very High,"24,955","2,258", 72, 29.2, 20.9, 8.6, 33.2, 35.9, 48.7,"6,280",442
Sultan Qaboos University,Oman,#=375,Public,High,"7,224",947, 3.8, 29.1, 13.2, 13.1, 73, 12.6, 100,253,507
University of Waikato,New Zealand,#=375,Public,Very High,"10,135",598, 85.3, 29.1, 19.6, 16.1, 10.7, 41.4, 96.8,"3,134",246
Nankai University,China Mainland,#=377,Public,Very High,"31,368","2,708", 6.8, 29, 23.6, 4.9, 29.4, 59, 18.3,"1,820",239
Taylor's University,Malaysia,#379,Private,Very High,"5,033",590, 86.1, 28.9, 16.4, 60.7, 41.3, 4.5, 52,"1,704",121
University of Kent,United Kingdom,#=380,Public,Very High,"17,060","1,285", 59.4, 28.8, 20.7, 10, 20.5, 37.1, 97.8,"3,730",550
Wake Forest University,United States,#=380,Private,Very High,"8,054","2,204", 16.3, 28.8, 6.7, 7.6, 100, 19.6, 8.2,832,117
